symbol;available_exchanges;currency_base;currency_quote
"0xBTC/USD";"[""Synthetic""]";"0xBitcoin";"US Dollar"
"1000SATS/USD";"[""Binance""]";"SATS";"US Dollar"
"1INCH/BTC";"[""Binance""]";"1inch";"Bitcoin"
"1INCH/INR";"[""Bitbns""]";"1inch";"Indian Rupee"
"1INCH/USD";"[""Binance"",""Huobi""]";"1inch";"US Dollar"
"1ST/USD";"[""Synthetic""]";"FirstBlood";"US Dollar"
"2GIVE/USD";"[""Synthetic""]";"2GIVE";"US Dollar"
"300/USD";"[""Synthetic""]";"300 Token";"US Dollar"
"611/USD";"[""Synthetic""]";"SixEleven";"US Dollar"
"808/USD";"[""Synthetic""]";"808Coin";"US Dollar"
"888/USD";"[""Synthetic""]";"OctoCoin";"US Dollar"
"8BIT/USD";"[""Synthetic""]";"8Bit";"US Dollar"
"AAVE/BRL";"[""Synthetic""]";"Aave";"Brazil Real"
"AAVE/BTC";"[""Binance""]";"Aave";"Bitcoin"
"AAVE/CAD";"[""Synthetic""]";"Aave";"Canadian Dollar"
"AAVE/ETH";"[""Binance""]";"Aave";"Ethereum"
"AAVE/EUR";"[""Coinbase Pro"",""Kraken""]";"Aave";"Euro"
"AAVE/INR";"[""Bitbns""]";"Aave";"Indian Rupee"
"AAVE/TRY";"[""Paribu""]";"Aave";"Turkish Lira"
"AAVE/USD";"[""Binance"",""Gate.io""]";"Aave";"US Dollar"
"ABN/USD";"[""Synthetic""]";"Abncoin";"US Dollar"
"ACA/USD";"[""Binance"",""Gate.io""]";"Acala Token";"US Dollar"
"ACC/USD";"[""Synthetic""]";"AdCoin";"US Dollar"
"ACES/USD";"[""Synthetic""]";"Aces";"US Dollar"
"ACH/USD";"[""Coinbase Pro"",""Gate.io"",""Huobi""]";"Alchemy Pay";"US Dollar"
"ACOIN/BTC";"[""YoBit""]";"Acoin";"Bitcoin"
"ACOIN/USD";"[""Synthetic""]";"Acoin";"US Dollar"
"ACP/USD";"[""Synthetic""]";"AnarchistsPrime";"US Dollar"
"AC/USD";"[""Synthetic""]";"AsiaCoin";"US Dollar"
"ADA/AUD";"[""Synthetic""]";"Cardano";"Australian Dollar"
"ADA/BNB";"[""Binance""]";"Cardano";"Binance Coin"
"ADA/BRL";"[""Binance"",""MercadoBitcoin"",""NovaDAX""]";"Cardano";"Brazil Real"
"ADA/BTC";"[""Binance"",""HitBTC""]";"Cardano";"Bitcoin"
"ADA/CAD";"[""Synthetic""]";"Cardano";"Canadian Dollar"
"ADA/CNY";"[""Synthetic""]";"Cardano";"Chinese Yuan"
"ADA/ETH";"[""Binance""]";"Cardano";"Ethereum"
"ADA/EUR";"[""Binance"",""Kraken"",""Synthetic""]";"Cardano";"Euro"
"ADA/HKD";"[""Synthetic""]";"Cardano";"Hong Kong Dollar"
"ADA/ILS";"[""Synthetic""]";"Cardano";"Israeli Shekel"
"ADA/INR";"[""Bitbns"",""Synthetic""]";"Cardano";"Indian Rupee"
"ADA/KRW";"[""Upbit""]";"Cardano";"Korean Won"
"ADA/MXN";"[""Synthetic""]";"Cardano";"Mexican Peso"
"ADA/MYR";"[""Synthetic""]";"Cardano";"Malaysian Ringgit"
"ADA/PLN";"[""Synthetic""]";"Cardano";"Polish Zloty"
"ADA/RUB";"[""Synthetic""]";"Cardano";"Russian Ruble"
"ADA/SAR";"[""Synthetic""]";"Cardano";"Saudi Riyal"
"ADA/SEK";"[""Synthetic""]";"Cardano";"Swedish Krona"
"ADA/THB";"[""Bitkub""]";"Cardano";"Thai Baht"
"ADA/TRY";"[""Binance"",""BTCTurk"",""Paribu"",""Synthetic""]";"Cardano";"Turkish Lira"
"ADA/USD";"[""Binance"",""HitBTC"",""Huobi"",""Synthetic""]";"Cardano";"US Dollar"
"ADA/VND";"[""Synthetic""]";"Cardano";"Vietnamese Dong"
"ADA/ZAR";"[""Synthetic""]";"Cardano";"South African Rand"
"ADC/BTC";"[""YoBit""]";"AudioCoin";"Bitcoin"
"ADCN/USD";"[""Synthetic""]";"Asiadigicoin";"US Dollar"
"ADC/USD";"[""Synthetic""]";"AudioCoin";"US Dollar"
"ADT/USD";"[""Synthetic""]";"adToken";"US Dollar"
"ADX/BTC";"[""Binance""]";"AdEx";"Bitcoin"
"ADX/ETH";"[""Binance""]";"AdEx";"Ethereum"
"ADX/USD";"[""Synthetic""]";"AdEx";"US Dollar"
"ADZ/BTC";"[""YoBit""]";"Adzcoin";"Bitcoin"
"ADZ/USD";"[""Synthetic""]";"Adzcoin";"US Dollar"
"AEON/USD";"[""Synthetic""]";"AEON";"US Dollar"
"AERM/USD";"[""Synthetic""]";"Aerium";"US Dollar"
"AERO/USD";"[""Coinbase Pro""]";"Aerodrome Finance";"US Dollar"
"AE/USD";"[""Gate.io""]";"Aeternity";"US Dollar"
"AGI/USD";"[""Synthetic""]";"SingularityNET";"US Dollar"
"AIB/USD";"[""Synthetic""]";"Advanced Internet Blocks";"US Dollar"
"AIR/USD";"[""Synthetic""]";"AirToken";"US Dollar"
"AI/USD";"[""Synthetic""]";"POLY AI";"US Dollar"
"AIX/USD";"[""Synthetic""]";"Aigang";"US Dollar"
"AKT/ETH";"[""Gate.io""]";"Akash Network";"Ethereum"
"AKT/USD";"[""Gate.io""]";"Akash Network";"US Dollar"
"ALGO/BTC";"[""Binance"",""Kraken""]";"Algorand";"Bitcoin"
"ALGO/INR";"[""Bitbns""]";"Algorand";"Indian Rupee"
"ALGO/USD";"[""Binance""]";"Algorand";"US Dollar"
"ALICE/EUR";"[""Synthetic""]";"MyNeighborAlice";"Euro"
"ALICE/USD";"[""Binance""]";"MyNeighborAlice";"US Dollar"
"ALIS/USD";"[""Synthetic""]";"ALIS";"US Dollar"
"ALPHA/USD";"[""Binance""]";"Alpha Finance Lab";"US Dollar"
"ALPINE/TRY";"[""Binance""]";"Alpine F1 Team Fan Token";"Turkish Lira"
"ALPINE/USD";"[""Binance""]";"Alpine F1 Team Fan Token";"US Dollar"
"ALTCOM/USD";"[""Synthetic""]";"AltCommunity Coin";"US Dollar"
"AMBER/USD";"[""Synthetic""]";"AmberCoin";"US Dollar"
"AMM/USD";"[""Synthetic""]";"MicroMoney";"US Dollar"
"AMPL/BTC";"[""Kucoin""]";"Ampleforth";"Bitcoin"
"AMPL/USD";"[""Kucoin""]";"Ampleforth";"US Dollar"
"AMPt/USD";"[""Coinbase Pro""]";"Amp";"US Dollar"
"AMS/BTC";"[""YoBit""]";"AmsterdamCoin";"Bitcoin"
"AMS/USD";"[""Synthetic""]";"AmsterdamCoin";"US Dollar"
"ANI/USD";"[""Synthetic""]";"Animecoin";"US Dollar"
"ANKR/KRW";"[""Upbit""]";"Ankr";"Korean Won"
"ANKR/TRY";"[""BTCTurk""]";"Ankr";"Turkish Lira"
"ANKR/USD";"[""Binance""]";"Ankr";"US Dollar"
"ANTI/USD";"[""Synthetic""]";"AntiBitcoin";"US Dollar"
"APE/BTC";"[""Binance""]";"ApeCoin";"Bitcoin"
"APE/CAD";"[""Synthetic""]";"ApeCoin";"Canadian Dollar"
"APE/USD";"[""Binance"",""Coinbase Pro"",""Huobi""]";"ApeCoin";"US Dollar"
"API3/USD";"[""Binance"",""Gate.io""]";"API3";"US Dollar"
"APIS/USD";"[""Synthetic""]";"APIS";"US Dollar"
"APPC/USD";"[""Synthetic""]";"AppCoins";"US Dollar"
"APT/USD";"[""Binance""]";"Aptos";"US Dollar"
"APX/USD";"[""Synthetic""]";"APX";"US Dollar"
"ARB/BTC";"[""YoBit""]";"ARbit";"Bitcoin"
"ARBIT/USD";"[""Synthetic""]";"ARbit";"US Dollar"
"ARBI/USD";"[""Synthetic""]";"ARBITRAGE";"US Dollar"
"AR/BRL";"[""Synthetic""]";"Arweave";"Brazil Real"
"ARB/USD";"[""Binance""]";" Arbitrum";"US Dollar"
"AR/CAD";"[""Synthetic""]";"Arweave";"Canadian Dollar"
"ARCO/BTC";"[""YoBit""]";"AquariusCoin";"Bitcoin"
"ARCO/USD";"[""Synthetic""]";"AquariusCoin";"US Dollar"
"ARDR/BTC";"[""Binance""]";"Ardor";"Bitcoin"
"ARDR/KRW";"[""Upbit""]";"Ardor";"Korean Won"
"ARDR/USD";"[""Synthetic""]";"Ardor";"US Dollar"
"AR/EUR";"[""Synthetic""]";"Arweave";"Euro"
"ARGUS/BTC";"[""YoBit""]";"Argus";"Bitcoin"
"ARG/USD";"[""Synthetic""]";"Argentum";"US Dollar"
"ARGUS/USD";"[""Synthetic""]";"Argus";"US Dollar"
"ARI/USD";"[""Synthetic""]";"Aricoin";"US Dollar"
"ARK/AUD";"[""Synthetic""]";"Ark";"Australian Dollar"
"ARK/KRW";"[""Upbit""]";"Ark";"Korean Won"
"ARK/USD";"[""Synthetic""]";"Ark";"US Dollar"
"ARN/USD";"[""Synthetic""]";"Aeron";"US Dollar"
"ARPA/BTC";"[""Binance""]";"ARPA Chain";"Bitcoin"
"ARPA/USD";"[""Binance""]";"ARPA Chain";"US Dollar"
"ART/USD";"[""Synthetic""]";"Maecenas";"US Dollar"
"AR/USD";"[""Binance"",""Huobi""]";"Arweave";"US Dollar"
"ARV/USD";"[""ProBit Exchange""]";"Ariva";"US Dollar"
"ASN/USD";"[""Synthetic""]";"Aseancoin";"US Dollar"
"ASTRO/USD";"[""Synthetic""]";"Astro";"US Dollar"
