title;name;code;country;timezone
"Argentinian Stock Exchange";"BCBA";"XBUE";"Argentina";"America/Argentina/Buenos_Aires"
"CHI-X Market Australia - Limit Venue";"CXA";"CXAC";"Australia";"Australia/Sydney"
"Australia Stock Exchange";"ASX";"XASX";"Australia";"Australia/Sydney"
"Vienna Stock Exchange";"VSE";"XWBO";"Austria";"Europe/Vienna"
"Euronext - Euronext Brussels";"Euronext";"XBRU";"Belgium";"Europe/Brussels"
"Brazil Stock Exchange";"Bovespa";"BVMF";"Brazil";"America/Paramaribo"
"Canadian National Stock Exchange";"CSE";"XCNQ";"Canada";"America/Toronto"
"TSX Venture Exchange";"TSXV";"XTSX";"Canada";"America/Toronto"
"NEO Exchange - NEO-L (Market By Order)";"NEO";"NEOE";"Canada";"America/Toronto"
"Toronto Stock Exchange";"TSX";"XTSE";"Canada";"America/Toronto"
"Santiago Stock Exchange";"BVS";"XSGO";"Chile";"America/Santiago"
"Shenzhen Stock Exchange";"SZSE";"XSHE";"China";"Asia/Shanghai"
"Shanghai Stock Exchange";"SSE";"XSHG";"China";"Asia/Shanghai"
"Copenhagen Stock Exchange";"OMXC";"XCSE";"Denmark";"Europe/Copenhagen"
"Helsinki Stock Exchange";"OMXH";"XHEL";"Finland";"Europe/Helsinki"
"Euronext - Euronext Paris";"Euronext";"XPAR";"France";"Europe/Paris"
"Deutsche Börse Xetra";"XETR";"XETR";"Germany";"Europe/Berlin"
"Börse Berlin Stock Exchange";"XBER";"XBER";"Germany";"Europe/Berlin"
"Munich Stock Exchange";"Munich";"XMUN";"Germany";"Europe/Berlin"
"Stuttgart Stock Exchange";"XSTU";"XSTU";"Germany";"Europe/Berlin"
"Frankfurt Stock Exchange";"FSX";"XFRA";"Germany";"Europe/Berlin"
"Hamburg Stock Exchange";"XHAM";"XHAM";"Germany";"Europe/Berlin"
"Düsseldorf Stock Exchange";"XDUS";"XDUS";"Germany";"Europe/Berlin"
"Hannover Stock Exchange";"XHAN";"XHAN";"Germany";"Europe/Berlin"
"Athens Stock Exchange";"ASE";"ASEX";"Greece";"Europe/Athens"
"Hong Kong Stock Exchange";"HKEX";"XHKG";"Hong Kong";"Asia/Hong_Kong"
"Budapest Stock Exchange";"BSE";"XBUD";"Hungary";"Europe/Budapest"
"Indian National Stock Exchange";"NSE";"XNSE";"India";"Asia/Kolkata"
"Bombay Stock Exchange";"BSE";"XBOM";"India";"Asia/Kolkata"
"Indonesia Stock Exchange";"IDX";"XIDX";"Indonesia";"Asia/Jakarta"
"Euronext Dublin";"ISE";"XDUB";"Ireland";"Europe/Dublin"
"Tel-Aviv Stock Exchange";"TASE";"XTAE";"Israel";"Asia/Jerusalem"
"Italian Stock Exchange";"MTA";"XMIL";"Italy";"Europe/Rome"
"Tokyo Stock Exchange";"JPX";"XJPX";"Japan";"Asia/Tokyo"
"Nasdaq Vilnius Stock Exchange";"OMXV";"XLIT";"Lithuania";"Europe/Vilnius"
"Mexican Stock Exchange";"BMV";"XMEX";"Mexico";"America/Swift_Current"
"Euronext - Euronext Amsterdam";"Euronext";"XAMS";"Netherlands";"Europe/Amsterdam"
"New Zealand Stock Exchange";"NZX";"XNZE";"New Zealand";"Pacific/Auckland"
"Oslo Stock Exchange";"OSE";"XOSL";"Norway";"Europe/Oslo"
"Warsaw Stock Exchange";"GPW";"XWAR";"Poland";"Europe/Warsaw"
"Euronext - Euronext Lisbon";"Euronext";"XLIS";"Portugal";"Europe/Lisbon"
"Qatar Stock Exchange";"QE";"DSMD";"Qatar";"Asia/Qatar"
"Moscow Exchange";"MOEX";"MISX";"Russia";"Europe/Moscow"
"Saudi Stock Exchange";"Tadawul";"XSAU";"Saudi Arabia";"Asia/Riyadh"
"Singapore Exchange";"SGX";"XSES";"Singapore";"Asia/Singapore"
"Johannesburg Stock Exchange";"JSE";"XJSE";"South Africa";"Africa/Johannesburg"
"South Korea Stock Exchange";"KRX";"XKRX";"South Korea";"Asia/Seoul"
"Madrid Stock Exchange";"BME";"XMAD";"Spain";"Europe/Madrid"
"Stockholm Stock Exchange";"OMX";"XSTO";"Sweden";"Europe/Stockholm"
"Swiss Stock Exchange";"SIX";"XSWX";"Switzerland";"Europe/Zurich"
"Taiwan Stock Exchange";"TWSE";"XTAI";"Taiwan";"Asia/Taipei"
"Stock Exchange of Thailand";"SET";"XBKK";"Thailand";"Asia/Bangkok"
"Istanbul Stock Exchange";"BIST";"XIST";"Turkey";"Europe/Istanbul"
"London Stock Exchange";"LSE";"XLON";"United Kingdom";"Europe/London"
"CBOE BZX U.S. Equities Exchange";"CBOE";"BATS";"United States";"America/New_York"
"NASDAQ Capital Market";"NASDAQ";"XNCM";"United States";"America/New_York"
"NASDAQ/NMS (Global Market)";"NASDAQ";"XNMS";"United States";"America/New_York"
"NASDAQ/NGS (Global Select Market)";"NASDAQ";"XNGS";"United States";"America/New_York"
"NYSE Arca";"NYSE";"ARCX";"United States";"America/New_York"
"NASDAQ";"NASDAQ";"XNAS";"United States";"America/New_York"
"NYSE Mkt LLC";"NYSE";"XASE";"United States";"America/New_York"
"New York Stock Exchange, Inc.";"NYSE";"XNYS";"United States";"America/New_York"
"OTC Grey Market";"OTC";"PSGM";"United States";"America/New_York"
"Expert Market";"OTC";"EXPM";"United States";"America/New_York"
"OTC Pink  Marketplace";"OTC";"PINX";"United States";"America/New_York"
"OTCQB Marketplace";"OTC";"OTCB";"United States";"America/New_York"
