title;name;code;country;timezone
"Argentinian Stock Exchange";"BCBA";"XBUE";"Argentina";"America/Argentina/Buenos_Aires"
"Australia Stock Exchange";"ASX";"XASX";"Australia";"Australia/Sydney"
"CHI-X Market Australia - Limit Venue";"CXA";"CXAC";"Australia";"Australia/Sydney"
"Vienna Stock Exchange";"VSE";"XWBO";"Austria";"Europe/Vienna"
"Euronext - Euronext Brussels";"Euronext";"XBRU";"Belgium";"Europe/Brussels"
"Botswana Stock Exchange";"BSE";"XBOT";"Botswana";"Africa/Gaborone"
"Brazil Stock Exchange";"Bovespa";"BVMF";"Brazil";"America/Paramaribo"
"Canadian National Stock Exchange";"CSE";"XCNQ";"Canada";"America/Toronto"
"Toronto Stock Exchange";"TSX";"XTSE";"Canada";"America/Toronto"
"TSX Venture Exchange";"TSXV";"XTSX";"Canada";"America/Toronto"
"NEO Exchange - NEO-L (Market By Order)";"NEO";"NEOE";"Canada";"America/Toronto"
"Santiago Stock Exchange";"BVS";"XSGO";"Chile";"America/Santiago"
"Shenzhen Stock Exchange";"SZSE";"XSHE";"China";"Asia/Shanghai"
"Shanghai Stock Exchange";"SSE";"XSHG";"China";"Asia/Shanghai"
"Colombia Stock Exchange";"BVC";"XBOG";"Colombia";"America/New_York"
"Prague Stock Exchange";"PSE";"XPRA";"Czech Republic";"Europe/Prague"
"Copenhagen Stock Exchange";"OMXC";"XCSE";"Denmark";"Europe/Copenhagen"
"Egyptian Exchange";"EGX";"XCAI";"Egypt";"Africa/Cairo"
"NASDAQ Tallinn As";"OMXT";"XTAL";"Estonia";"Europe/Tallinn"
"Helsinki Stock Exchange";"OMXH";"XHEL";"Finland";"Europe/Helsinki"
"Euronext - Euronext Paris";"Euronext";"XPAR";"France";"Europe/Paris"
"Stuttgart Stock Exchange";"XSTU";"XSTU";"Germany";"Europe/Berlin"
"Munich Stock Exchange";"Munich";"XMUN";"Germany";"Europe/Berlin"
"Börse Berlin Stock Exchange";"XBER";"XBER";"Germany";"Europe/Berlin"
"Hamburg Stock Exchange";"XHAM";"XHAM";"Germany";"Europe/Berlin"
"Düsseldorf Stock Exchange";"XDUS";"XDUS";"Germany";"Europe/Berlin"
"Deutsche Börse Xetra";"XETR";"XETR";"Germany";"Europe/Berlin"
"Frankfurt Stock Exchange";"FSX";"XFRA";"Germany";"Europe/Berlin"
"Hannover Stock Exchange";"XHAN";"XHAN";"Germany";"Europe/Berlin"
"Athens Stock Exchange";"ASE";"ASEX";"Greece";"Europe/Athens"
"Hong Kong Stock Exchange";"HKEX";"XHKG";"Hong Kong";"Asia/Hong_Kong"
"Budapest Stock Exchange";"BSE";"XBUD";"Hungary";"Europe/Budapest"
"Iceland Stock Exchange";"ICEX";"XICE";"Iceland";"Atlantic/Reykjavik"
"Bombay Stock Exchange";"BSE";"XBOM";"India";"Asia/Kolkata"
"Indian National Stock Exchange";"NSE";"XNSE";"India";"Asia/Kolkata"
"Indonesia Stock Exchange";"IDX";"XIDX";"Indonesia";"Asia/Jakarta"
"Euronext Dublin";"XMSM";"XMSM";"Ireland";"Europe/Dublin"
"Euronext Dublin";"ISE";"XDUB";"Ireland";"Europe/Dublin"
"Euronext Growth Dublin";"XESM";"XESM";"Ireland";"Europe/Dublin"
"Tel-Aviv Stock Exchange";"TASE";"XTAE";"Israel";"Asia/Jerusalem"
"Italian Stock Exchange";"MTA";"XMIL";"Italy";"Europe/Rome"
"Jamaica Stock Exchange";"JSE";"XJAM";"Jamaica";"America/Jamaica"
"Tokyo Stock Exchange";"JPX";"XJPX";"Japan";"Asia/Tokyo"
"Sapporo Securities Exchange";"XSAP";"XSAP";"Japan";"Asia/Tokyo"
"Kuwait Stock Exchange";"XKUW";"XKUW";"Kuwait";"Asia/Kuwait"
"NASDAQ Riga AS";"OMXR";"XRIS";"Latvia";"Europe/Riga"
"Nasdaq Vilnius Stock Exchange";"OMXV";"XLIT";"Lithuania";"Europe/Vilnius"
"Malaysia Stock Exchange";"MYX";"XKLS";"Malaysia";"Asia/Kuala_Lumpur"
"Mexican Stock Exchange";"BMV";"XMEX";"Mexico";"America/Swift_Current"
"Euronext - Euronext Amsterdam";"Euronext";"XAMS";"Netherlands";"Europe/Amsterdam"
"New Zealand Stock Exchange";"NZX";"XNZE";"New Zealand";"Pacific/Auckland"
"Oslo Stock Exchange";"OSE";"XOSL";"Norway";"Europe/Oslo"
"Pakistan Stock Exchange";"PSX";"XKAR";"Pakistan";"Asia/Karachi"
"Lima Stock Exchange";"BVL";"XLIM";"Peru";"America/Lima"
"Philippine Stock Exchange";"PSE";"XPHS";"Philippines";"Asia/Manila"
"Warsaw Stock Exchange";"GPW";"XWAR";"Poland";"Europe/Warsaw"
"Euronext - Euronext Lisbon";"Euronext";"XLIS";"Portugal";"Europe/Lisbon"
"Qatar Stock Exchange";"QE";"DSMD";"Qatar";"Asia/Qatar"
"Bucharest Stock Exchange";"BVB";"XBSE";"Romania";"Europe/Bucharest"
"Moscow Exchange";"MOEX";"MISX";"Russia";"Europe/Moscow"
"Saudi Stock Exchange";"Tadawul";"XSAU";"Saudi Arabia";"Asia/Riyadh"
"Singapore Exchange";"SGX";"XSES";"Singapore";"Asia/Singapore"
"Johannesburg Stock Exchange";"JSE";"XJSE";"South Africa";"Africa/Johannesburg"
"Korea Exchange (KONEX)";"KONEX";"XKON";"South Korea";"Asia/Seoul"
"South Korea Stock Exchange";"KRX";"XKRX";"South Korea";"Asia/Seoul"
"Korea Exchange (KOSDAQ)";"KOSDAQ";"XKOS";"South Korea";"Asia/Seoul"
"Madrid Stock Exchange";"BME";"XMAD";"Spain";"Europe/Madrid"
"Spotlight Stock Market";"Spotlight Stock Market";"XSAT";"Sweden";"Europe/Stockholm"
"Stockholm Stock Exchange";"OMX";"XSTO";"Sweden";"Europe/Stockholm"
"First North Sweden - SME Growth Market";"SSME";"SSME";"Sweden";"Europe/Stockholm"
"Swiss Stock Exchange";"SIX";"XSWX";"Switzerland";"Europe/Zurich"
